username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
2Alejandra8;2015-09-15 19:59;1;1;"Ponen su vida a temblar (8)";;;;"643937306735452160";https://twitter.com/2Alejandra8/status/643937306735452160
glopau;2015-09-15 19:58;1;1;"@alfonso_marquez periférico sur y colon me agarró la granizada estoy temblando de nervios pic.twitter.com/7ymrHW0YCo";Tlaquepaque, Jalisco;@alfonso_marquez;;"643937038127857665";https://twitter.com/glopau/status/643937038127857665
ShaylinSuarez;2015-09-15 19:58;0;0;"Me sonrieron sus ojos y me temblo hasta el alma. Te amo https:// instagram.com/p/7q6g3yTI24A0 kzos-UWBUCmuDxqHoyGj2Ho4I0/ …";;;;"643937012320468992";https://twitter.com/ShaylinSuarez/status/643937012320468992
tlciudadana;2015-09-15 19:58;0;0;"Poemas eróticos que harán temblar tus piernas. http:// bit.ly/1QptEYi pic.twitter.com/j5miolg1x3 "";Puebla, México;;;"643936961741328384";https://twitter.com/tlciudadana/status/643936961741328384
Camiluchetti;2015-09-15 19:58;0;0;"Ya empiezo a temblar sin saber que le pasa, no me gusta verla mal ... SEA LA RAZÓN QUE SEA.";Luján, Argentina;;;"643936956796305408";https://twitter.com/Camiluchetti/status/643936956796305408
SherilinVargas;2015-09-15 19:58;0;1;"@SebasArango Tu cadera y la mía BOOM hacen. Un sismo .";;@SebasArango;;"643936940149108740";https://twitter.com/SherilinVargas/status/643936940149108740
CeciGp23;2015-09-15 19:58;0;0;"@SebasArango Tu cadera y la mía boom hacen un sismo";;@SebasArango;;"643936921203245057";https://twitter.com/CeciGp23/status/643936921203245057
eq_map_es2;2015-09-15 19:58;0;1;"【mb3.3】OKLAHOMA 4km 15/09/2015 23:45:32 UTC #Sismo #Terremoto (G) http:// j.mp/1LwPZPB (EMSC) http:// j.mp/1FLwBMD";Oklahoma, USA;;#Sismo #Terremoto;"643936910839144448";https://twitter.com/eq_map_es2/status/643936910839144448
MonitorSismico;2015-09-15 19:58;0;0;"#Sismo M 3.3 25km ENE of Mooreland, #Oklahoma . 15-09-2015 23:45 UTC http:// srj.us/3Gq #Temblor #USGS pic.twitter.com/WP5LkgvIqZ";;;#Sismo #Oklahoma #Temblor #USGS;"643936881034571776";https://twitter.com/MonitorSismico/status/643936881034571776
CassanoManu;2015-09-15 19:57;1;0;"Tus caderas y las mías, pum, hacen un sismo";;;;"643936798310318080";https://twitter.com/CassanoManu/status/643936798310318080
tlciudadana;2015-09-15 19:57;0;0;"Sismo preliminar: M 4.4, Eastern Kashmir http:// bit.ly/1UTFXlV Ampliaremos."";Puebla, México;;;"643936776617361408";https://twitter.com/tlciudadana/status/643936776617361408
_cbjvlc__;2015-09-15 19:57;0;0;"muevete a mi ritmo, siente el magnetismo tu cadera la mia bum hacen un sismo";;;;"643936775971434496";https://twitter.com/_cbjvlc__/status/643936775971434496
Ivanecia_;2015-09-15 19:57;0;0;"Por cierto, gracias a tanta publicidad sobre el temblor del 85, soñé que temblaba culerisimo; veía caer una nave donde estaba mi familia.";;;;"643936754819428352";https://twitter.com/Ivanecia_/status/643936754819428352
carloslosan;2015-09-15 19:57;0;0;"Si esto no es un sismo ... ♫ http:// spoti.fi/TkHXOn";;;;"643936732140933120";https://twitter.com/carloslosan/status/643936732140933120
Chava_Rock;2015-09-15 19:57;0;1;"De conmemorar el sismo del 85, seguimos con la historia de la música y @MemoClass nos comparte la historia del rock https:// twitter.com/gritaradiomx/s tatus/643914737898557440 …";Coyoacán, Distrito Federal;@MemoClass;;"643936682769690624";https://twitter.com/Chava_Rock/status/643936682769690624
Andreslobos;2015-09-15 19:57;0;0;"MAMA+TECNOLOGIA = TERREMOTO × RISAS #fullbuenavibra #feliznoche #mama #cuidao #terremoto #humor … https:// instagram.com/p/7q6VDrpXIJ/";;;#fullbuenavibra #feliznoche #mama #cuidao #terremoto #humor;"643936629082705920";https://twitter.com/Andreslobos/status/643936629082705920
upsidenancy;2015-09-15 19:57;0;0;"Fiorina e Nina Se Falando Bem Hj Tem Terremoto Gente SequestroDaManu";;;;"643936622954840064";https://twitter.com/upsidenancy/status/643936622954840064
EMSC;2015-09-15 19:57;0;0;"#Earthquake ( #sismo ) M3.3 strikes 25 km E of #Mooreland ( #Oklahoma ) 12 min ago. More info: http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459477 …";;;#Earthquake #sismo #Mooreland #Oklahoma;"643936615077937152";https://twitter.com/EMSC/status/643936615077937152
